City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
278,Lazo,RU,43.3817,133.9014,55.8,37,93,overcast clouds
279,Axim,GH,4.8699,-2.2405,79.95,82,98,overcast clouds
280,Cacoal,BR,-11.4386,-61.4472,70.74,98,100,overcast clouds
281,Kisangani,CD,0.5167,25.2,72.91,96,100,overcast clouds
282,Sann,PK,26.0418,68.1378,100.4,27,17,few clouds
283,Valleyview,CA,55.0667,-117.2859,34.61,99,100,snow
284,Frontera,MX,26.9333,-101.45,58.84,48,42,scattered clouds
285,Manzhouli,CN,49.6,117.4333,66.69,18,57,broken clouds
286,Lagoa Vermelha,BR,-28.2086,-51.5258,54.36,98,23,few clouds
287,Fort Nelson,CA,58.8053,-122.7002,33.8,100,20,fog
288,Barabai,ID,-2.5833,115.3833,93.97,39,84,broken clouds
289,Nanortalik,GL,60.1432,-45.2371,24.06,53,0,clear sky
290,Naze,JP,28.3667,129.4833,68.0,49,40,scattered clouds
291,Brae,GB,60.3964,-1.353,44.6,70,8,clear sky
292,Honiara,SB,-9.4333,159.95,82.26,84,97,overcast clouds
293,Aquiraz,BR,-3.9014,-38.3911,77.0,88,40,scattered clouds
294,Kieta,PG,-6.2167,155.6333,83.44,78,90,moderate rain
295,Suluq,LY,31.6682,20.2521,71.56,54,100,overcast clouds
296,Tanout,NE,14.9709,8.8879,81.12,8,69,broken clouds
297,Chulucanas,PE,-5.0925,-80.1625,73.47,71,98,overcast clouds
298,Raudeberg,NO,61.9875,5.1352,44.6,65,0,clear sky
299,Korla,CN,41.7597,86.1469,73.09,12,97,overcast clouds
300,Carutapera,BR,-1.195,-46.02,75.6,91,97,overcast clouds
301,Kosino,RU,58.4127,51.2782,37.92,64,48,scattered clouds
302,Zhuanghe,CN,39.7008,122.9911,56.37,39,0,clear sky
303,Cabedelo,BR,-6.9811,-34.8339,73.4,100,75,light rain
304,Cockburn Town,TC,21.4612,-71.1419,77.94,86,0,clear sky
305,Cravo Norte,CO,6.3017,-70.2041,78.19,82,100,overcast clouds
306,Kalianget,ID,-7.05,113.9333,84.47,66,88,overcast clouds
307,Mao,ES,39.8885,4.2658,46.4,87,20,few clouds
308,Nishihara,JP,26.1842,127.7558,71.6,52,40,scattered clouds
309,Warrnambool,AU,-38.3833,142.4833,60.01,81,66,broken clouds
310,Saint-Avold,FR,49.1027,6.7006,46.0,69,98,overcast clouds
311,Tecoanapa,MX,16.5167,-98.75,76.44,70,3,clear sky
312,Zyryanka,RU,65.75,150.85,35.22,56,100,overcast clouds
313,Bosaso,SO,11.2842,49.1816,86.0,62,0,clear sky
314,Kjollefjord,NO,70.9457,27.3465,36.21,82,83,broken clouds
315,Nizhniy Chir,RU,48.3597,43.0865,51.89,61,46,scattered clouds
316,Azul,AR,-36.777,-59.8585,61.0,93,33,scattered clouds
317,Carauari,BR,-4.8828,-66.8958,71.82,98,98,overcast clouds
318,Grand Gaube,MU,-20.0064,57.6608,84.99,73,77,broken clouds
