City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Antofagasta,CL,2021-05-07 04:16:51,-23.65,-70.4,62.6,72,90,2.3
281,Sur,OM,2021-05-07 04:16:51,22.5667,59.5289,89.74,44,55,9.44
282,Wenzhou,CN,2021-05-07 04:16:52,27.9994,120.6668,77.0,82,100,0.65
283,Palasbari,IN,2021-05-07 04:16:52,26.1361,91.5486,69.8,88,90,2.28
284,Sawtell,AU,2021-05-07 04:16:53,-30.3833,153.1,73.4,64,58,6.91
285,Pljevlja,ME,2021-05-07 04:16:53,43.3333,19.3333,51.8,62,0,2.3
286,Floro,NO,2021-05-07 04:16:53,61.5996,5.0328,37.4,87,39,4.61
287,Talcahuano,CL,2021-05-07 04:16:54,-36.7167,-73.1167,48.2,100,68,5.75
288,Okha,RU,2021-05-07 04:16:54,53.5739,142.9478,33.17,98,97,15.9
289,Embonas,GR,2021-05-07 04:16:54,36.2269,27.8564,68.0,73,20,4.61
290,Okhotsk,RU,2021-05-07 04:16:56,59.3833,143.3,38.5,69,99,7.7
291,Kutum,SD,2021-05-07 04:16:56,14.2,24.6667,71.15,60,9,3.36
292,Morro Bay,US,2021-05-07 04:16:56,35.3658,-120.8499,55.0,91,28,3.0
293,Whitehorse,CA,2021-05-07 04:15:04,60.7161,-135.0538,51.8,50,90,4.36
294,Bad Langensalza,DE,2021-05-07 04:16:57,51.1,10.65,39.99,95,100,1.01
295,Key Largo,US,2021-05-07 04:16:57,25.0865,-80.4473,82.0,78,1,1.92
